Date,Sleep Schedule,Work Grind,Cold Calls,Car Washing,Gym,Eat Right,Tried My Best,Moved With Speed,Wasted Time,Biggest Win,Do Differently,Thanked God,Good Person,Money Made (GBP)
2026-06-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-06-22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-06-23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-06-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-06-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-06-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-06-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-06-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-06-29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-06-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-07-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-07-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-07-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-07-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-07-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-07-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-07-07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-07-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
2026-07-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,
